seed_block_id	master_seed	use
sb0001	666	exploratory matched population; shared with Stage 2 and Wave 1
sb0002	667	exploratory matched population; shared with Stage 2 and Wave 1
sb0003	668	exploratory matched population; shared with Stage 2 and Wave 1
sb0004	669	exploratory matched population; shared with Stage 2 and Wave 1
sb0005	670	exploratory matched population; shared with Stage 2 and Wave 1
sb0006	671	exploratory matched population; shared with Stage 2 and Wave 1
sb0007	672	exploratory matched population; shared with Stage 2 and Wave 1
sb0008	673	exploratory matched population; shared with Stage 2 and Wave 1
sb0009	674	exploratory matched population; shared with Stage 2 and Wave 1
sb0010	675	exploratory matched population; shared with Stage 2 and Wave 1
sb0011	676	exploratory matched population; shared with Stage 2 and Wave 1
sb0012	677	exploratory matched population; shared with Stage 2 and Wave 1
